box of teabag,running nr,weight before,weight only tea,date weighing before,fence,treat snow,treat Otc,date burry,date retrieve,incubation time,pseudo rep,Weight dried (with bag),weight after (dried at 60 degr C),Weight loss after incubation,comment
G1,379,2.163,1.911,26-05-2017,A1,C,,06-09-2017,27-08-2018,355,,1.4255,1.0097,0.901,
R1,17,2.16,1.905,24-05-2017,A3,C,,06-09-2017,27-08-2018,355,,1.8749,1.4755,0.43,
G1,365,1.979,1.727,26-05-2017,A3,C,,06-09-2017,27-08-2018,355,,1.3183,0.9665,0.761,
R2,24,2.24,1.983,24-05-2017,B4,C,,06-09-2017,27-08-2018,355,,1.9026,1.5038,0.479,
G8,530,2.045,1.793,29-05-2017,B4,C,,06-09-2017,27-08-2018,355,,1.1804,0.7821,1.011,
R4,65,2.193,1.938,24-05-2017,B5,C,,06-09-2017,27-08-2018,355,,1.8866,1.4733,0.465,
G8,535,2.065,1.813,29-05-2017,B5,C,,06-09-2017,27-08-2018,355,,1.2245,0.8276,0.985,
R4,61,2.177,1.922,24-05-2017,B6,C,,06-09-2017,27-08-2018,355,,1.8983,1.4855,0.437,
G8,540,2.014,1.762,29-05-2017,B6,C,,06-09-2017,27-08-2018,355,,1.2405,0.8975,0.865,
R6,97,2.136,1.886,24-05-2017,C7,C,,06-09-2017,27-08-2018,355,,1.8676,1.4668,0.419,
R6,103,2.175,1.925,24-05-2017,C8,C,,06-09-2017,27-08-2018,355,,1.8371,1.4304,0.495,
G4,437,2.085,1.833,29-05-2017,C8,C,,06-09-2017,27-08-2018,355,,1.2525,0.9062,0.927,
R2,36,2.216,1.959,24-05-2017,C9,C,,06-09-2017,27-08-2018,355,,1.8767,1.4833,0.476,
G4,451,2.096,1.844,29-05-2017,C9,C,,06-09-2017,27-08-2018,355,,1.3204,0.9505,0.894,
R9,161,2.26,2.008,24-05-2017,D10,C,,06-09-2017,27-08-2018,355,,1.8673,1.5295,0.479,
G7,514,2.044,1.796,29-05-2017,D10,C,,06-09-2017,27-08-2018,355,,1.0901,0.7514,1.045,
R9,164,2.225,1.973,24-05-2017,D11,C,,06-09-2017,27-08-2018,355,,1.9248,1.5457,0.427,
G7,521,1.986,1.738,29-05-2017,D11,C,,06-09-2017,27-08-2018,355,,1.1483,0.7967,0.941,
R9,170,2.205,1.953,24-05-2017,D12,C,,06-09-2017,27-08-2018,355,,1.8909,1.5039,0.449,
G7,512,2.05,1.802,29-05-2017,D12,C,,06-09-2017,27-08-2018,355,,1.387,1.0065,0.796,
R1,1,2.252,1.997,24-05-2017,A1,D,,06-09-2017,27-08-2018,355,,2.0172,1.5936,0.403,
G1,382,2.068,1.816,26-05-2017,A1,D,,06-09-2017,27-08-2018,355,,1.461,1.095,0.721,
G4,434,2.049,1.797,29-05-2017,C7,D,,06-09-2017,27-08-2018,355,,1.3135,0.9493,0.848,
G8,552,2.071,1.819,29-05-2017,C9,D,,06-09-2017,27-08-2018,355,,NA,NA,,
G4,435,2,1.748,29-05-2017,D11,D,,06-09-2017,27-08-2018,355,,1.1487,0.8115,0.937,
R1,16,2.281,2.026,24-05-2017,A3,D,,06-09-2017,27-08-2018,355,,1.9029,1.4702,0.556,
G1,384,2.024,1.772,26-05-2017,A3,D,,06-09-2017,27-08-2018,355,,1.3032,0.8902,0.882,
R4,69,2.187,1.932,24-05-2017,B4,D,,06-09-2017,27-08-2018,355,,1.8734,1.4992,0.433,
G8,541,2.03,1.778,29-05-2017,B4,D,,06-09-2017,27-08-2018,355,,,,,
R1,4,2.153,1.898,24-05-2017,B5,D,,06-09-2017,27-08-2018,355,,1.828,1.482,0.416,
G1,371,2.02,1.768,26-05-2017,B5,D,,06-09-2017,27-08-2018,355,,1.2153,0.8478,0.92,
R4,59,2.249,1.994,24-05-2017,B6,D,,06-09-2017,27-08-2018,355,,1.967,1.5761,0.418,
G8,549,2.089,1.837,29-05-2017,B6,D,,06-09-2017,27-08-2018,355,,,,,Two locations where G8 549 has been recorded --> tags written twice? Or one misread? Could be that one is 541. Need to check
R2,29,2.185,1.928,24-05-2017,C7,D,,06-09-2017,27-08-2018,355,,1.9428,1.5185,0.41,
R6,98,2.161,1.911,24-05-2017,C8,D,,06-09-2017,27-08-2018,355,,1.8623,1.4787,0.432,
G4,448,2.045,1.793,29-05-2017,C8,D,,06-09-2017,27-08-2018,355,,1.3438,0.9684,0.825,
R2,37,2.178,1.921,24-05-2017,C9,D,,06-09-2017,27-08-2018,355,,1.8616,1.4844,0.437,
R9,165,2.24,1.988,24-05-2017,D10,D,,06-09-2017,27-08-2018,355,,1.9505,1.5532,0.435,
G7,510,2.038,1.79,29-05-2017,D10,D,,06-09-2017,27-08-2018,355,,1.2727,0.8962,0.894,
R6,106,2.176,1.926,24-05-2017,D11,D,,06-09-2017,27-08-2018,355,,1.8154,1.4397,0.486,
R9,155,2.276,2.024,24-05-2017,D12,D,,06-09-2017,27-08-2018,355,,1.9032,1.5533,0.471,
